player,team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,PPG
Eric Bledsoe,PHX,81,34.6,5.8,12.9,.447,1.1,3.4,.324,4.4,5.4,.800,3.4,2.3,0.9,4.3,5.2,6.1,1.6,17.0
Andrew Wiggins,MIN,82,36.2,6.1,13.9,.437,0.5,1.5,.310,4.3,5.7,.760,2.2,2.3,1.6,2.9,4.6,2.1,1.0,16.9
Paul Millsap,ATL,73,32.7,6.1,12.7,.476,1.1,3.0,.356,3.5,4.6,.757,2.3,2.8,1.9,5.9,7.8,3.1,1.8,16.7
Tyreke Evans,NOP,79,34.0,6.6,14.7,.447,0.9,2.9,.304,2.6,3.7,.694,3.1,2.5,1.0,4.2,5.3,6.6,1.3,16.6
Kawhi Leonard,SAS,64,31.8,6.2,12.8,.479,1.0,3.0,.349,3.2,3.9,.802,1.5,2.0,1.3,5.9,7.2,2.5,2.3,16.5
Isaiah Thomas,BOS,67,25.8,5.0,11.9,.420,1.9,5.2,.373,4.5,5.2,.868,2.1,2.2,0.5,1.8,2.3,4.2,0.9,16.4
Kevin Love,CLE,75,33.8,5.5,12.7,.434,1.9,5.2,.367,3.4,4.3,.804,1.6,1.9,1.9,7.9,9.7,2.2,0.7,16.4
J.J. Redick,LAC,78,30.9,5.7,12.0,.477,2.6,5.9,.437,2.3,2.6,.901,1.2,1.7,0.3,1.9,2.1,1.8,0.5,16.4
Goran Dragic,MIA,78,33.8,6.4,12.8,.501,1.2,3.3,.347,2.3,3.0,.774,2.2,2.5,1.0,2.5,3.5,4.5,1.0,16.3
Zach Randolph,MEM,71,32.4,6.4,13.1,.487,0.1,0.3,.350,3.2,4.2,.765,2.2,2.5,3.2,7.4,10.5,2.2,1.0,16.1
Derrick Favors,UTA,74,30.8,6.5,12.4,.525,0.0,0.1,.167,3.0,4.5,.669,1.6,2.8,2.6,5.6,8.2,1.5,0.8,16.0
Jeff Teague,ATL,73,30.5,5.6,12.2,.460,1.0,2.8,.343,3.8,4.4,.862,2.8,1.9,0.4,2.1,2.5,7.0,1.7,15.9
Mike Conley,MEM,70,31.8,5.6,12.6,.446,1.5,4.0,.386,3.1,3.6,.859,2.2,2.0,0.4,2.6,3.0,5.4,1.3,15.8
Jamal Crawford,LAC,64,26.6,5.2,13.1,.396,1.9,5.7,.327,3.5,3.9,.901,1.4,1.7,0.3,1.7,1.9,2.5,0.9,15.8
Lou Williams,TOR,80,25.2,4.7,11.6,.404,1.9,5.6,.340,4.2,4.9,.861,1.3,1.3,0.3,1.6,1.9,2.0,1.1,15.5
Enes Kanter,OKC,75,28.5,6.4,12.4,.519,0.2,0.6,.356,2.4,3.1,.782,1.9,2.5,3.7,5.3,8.9,0.7,0.5,15.5
Markieff Morris,PHX,82,31.5,6.2,13.4,.465,0.7,2.2,.318,2.2,2.8,.763,2.1,3.0,1.3,4.8,6.2,2.3,1.2,15.3
Bradley Beal,WAS,63,33.5,5.8,13.5,.427,1.7,4.1,.409,2.1,2.6,.783,2.0,2.2,0.9,2.9,3.8,3.1,1.2,15.3
Ty Lawson,DEN,75,35.5,5.4,12.3,.436,0.9,2.7,.341,3.5,4.8,.730,2.5,1.7,0.6,2.6,3.1,9.6,1.2,15.2
Al Horford,ATL,76,30.5,6.8,12.7,.538,0.1,0.5,.306,1.4,1.9,.759,1.3,1.6,1.7,5.4,7.2,3.2,0.9,15.2
Jeff Green,MEM,78,31.5,5.3,12.4,.430,1.2,3.7,.332,3.1,3.7,.833,1.4,1.9,0.8,3.4,4.2,1.7,0.7,15.0
Michael Carter-Williams,MIL,66,32.6,5.5,13.9,.396,0.5,2.3,.235,3.1,4.4,.694,3.8,2.5,1.0,4.4,5.3,6.7,1.7,14.6
Reggie Jackson,DET,77,29.5,5.6,12.9,.434,0.9,3.1,.299,2.4,2.8,.830,2.4,2.2,0.7,3.5,4.2,6.0,0.8,14.5
Joe Johnson,BRK,80,34.9,5.6,12.8,.435,1.5,4.2,.359,1.8,2.2,.801,1.7,1.5,0.7,4.1,4.8,3.6,0.7,14.4
Tony Parker,SAS,68,28.7,5.9,12.2,.486,0.6,1.3,.427,1.9,2.4,.783,2.1,1.6,0.2,1.7,1.9,4.9,0.6,14.4
Thaddeus Young,BRK,76,32.0,5.9,12.7,.466,0.5,1.5,.330,1.7,2.6,.655,1.5,2.2,1.7,3.7,5.4,2.3,1.6,14.1
Luol Deng,MIA,72,33.6,5.1,10.9,.469,1.1,3.1,.355,2.7,3.5,.761,1.5,1.5,1.4,3.8,5.2,1.9,0.9,14.0
Wilson Chandler,DEN,78,31.7,5.4,12.5,.429,1.8,5.2,.342,1.4,1.8,.775,1.4,3.0,1.2,4.9,6.1,1.7,0.7,13.9
Avery Bradley,BOS,77,31.5,5.6,13.1,.429,1.6,4.6,.352,1.0,1.3,.790,1.4,2.3,0.6,2.5,3.1,1.8,1.1,13.9
Tim Duncan,SAS,77,28.9,5.4,10.6,.512,0.0,0.1,.286,3.0,4.0,.740,1.7,2.1,2.2,6.9,9.1,3.0,0.8,13.9
Andre Drummond,DET,82,30.5,6.0,11.7,.514,0.0,0.0,.000,1.7,4.5,.389,1.5,3.5,5.3,8.1,13.5,0.7,0.9,13.8
Robert Covington,PHI,70,27.9,4.3,10.8,.396,2.4,6.4,.374,2.5,3.1,.820,1.8,2.7,0.9,3.6,4.5,1.5,1.4,13.5
C.J. Miles,IND,70,26.3,4.7,11.8,.398,2.2,6.4,.345,1.9,2.3,.807,1.0,1.9,0.3,2.8,3.1,1.1,0.9,13.5
Khris Middleton,MIL,79,30.1,5.1,11.0,.467,1.4,3.4,.407,1.7,2.0,.859,1.4,2.3,0.6,3.8,4.4,2.3,1.5,13.4
Arron Afflalo,POR,78,32.1,4.8,11.3,.424,1.5,4.3,.354,2.1,2.5,.843,1.5,2.1,0.3,2.8,3.2,1.7,0.5,13.3
Deron Williams,BRK,68,31.1,4.4,11.3,.387,1.3,3.5,.367,3.0,3.5,.834,2.3,2.3,0.4,3.1,3.5,6.6,0.9,13.0
Trey Burke,UTA,76,30.1,4.9,13.2,.368,1.6,5.1,.318,1.4,1.9,.752,1.6,1.6,0.4,2.3,2.7,4.3,0.9,12.8
Trevor Ariza,HOU,82,35.7,4.5,11.1,.402,2.4,6.8,.350,1.5,1.7,.853,1.7,2.3,0.9,4.7,5.6,2.5,1.9,12.8
Kentavious Caldwell-Pope,DET,82,31.5,4.8,11.9,.401,1.9,5.4,.345,1.3,1.9,.696,1.1,2.0,0.6,2.5,3.1,1.3,1.1,12.7
