player,team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,PPG
Marreese Speights,GSW,76,15.9,4.2,8.5,.492,0.1,0.2,.278,2.0,2.3,.843,1.1,2.5,1.4,2.8,4.3,0.9,0.3,10.4
Taj Gibson,CHI,62,27.3,4.1,8.2,.502,0.0,0.0,.000,2.1,3.0,.717,1.2,2.6,2.6,3.8,6.4,1.1,0.6,10.3
Tyson Chandler,DAL,75,30.5,3.9,5.9,.666,0.0,0.0,.000,2.5,3.4,.720,1.4,2.3,3.9,7.6,11.5,1.1,0.6,10.3
Mario Chalmers,MIA,80,29.6,3.3,8.3,.403,0.9,3.1,.294,2.6,3.3,.774,2.2,3.1,0.3,2.3,2.6,3.8,1.5,10.2
Tyler Zeller,BOS,82,21.1,4.1,7.5,.549,0.0,0.0,.000,1.9,2.3,.823,0.9,2.5,1.8,3.9,5.7,1.4,0.2,10.2
Nikola Mirotic,CHI,82,20.2,3.1,7.6,.405,1.2,3.8,.316,2.8,3.5,.803,1.1,2.1,0.8,4.2,4.9,1.2,0.7,10.2
Zach LaVine,MIN,77,24.7,3.7,8.8,.422,0.7,2.2,.341,1.9,2.3,.842,2.5,2.1,0.4,2.4,2.8,3.6,0.7,10.1
Courtney Lee,MEM,77,30.6,3.7,8.4,.448,1.2,2.9,.402,1.4,1.7,.860,1.0,1.7,0.3,2.0,2.3,2.0,1.0,10.1
Harrison Barnes,GSW,82,28.3,3.9,8.0,.482,1.1,2.6,.405,1.3,1.8,.720,0.9,1.8,1.4,4.1,5.5,1.4,0.7,10.1
Matt Barnes,LAC,76,29.9,3.6,8.2,.444,1.8,4.9,.362,1.0,1.2,.779,1.1,3.2,0.7,3.3,4.0,1.5,0.9,10.1
Dennis Schroeder,ATL,77,19.7,3.7,8.6,.427,0.7,1.9,.351,1.9,2.3,.827,1.9,1.6,0.4,1.8,2.1,4.1,0.6,10.0
Nerlens Noel,PHI,75,30.8,4.0,8.7,.462,0.0,0.0,.000,1.9,3.1,.609,1.9,2.8,2.5,5.7,8.1,1.7,1.8,9.9
Wesley Johnson,LAL,76,29.5,3.8,9.1,.414,1.2,3.4,.351,1.2,1.5,.804,1.1,2.1,0.9,3.3,4.2,1.6,0.8,9.9
Terrence Ross,TOR,82,25.5,3.8,9.2,.410,1.8,4.8,.372,0.5,0.7,.786,0.8,1.7,0.4,2.4,2.8,1.0,0.6,9.8
Gorgui Dieng,MIN,73,30.0,3.5,7.0,.506,0.0,0.1,.167,2.6,3.3,.783,1.7,2.6,3.1,5.3,8.3,2.0,1.0,9.7
Timofey Mozgov,CLE,81,25.3,3.9,7.0,.555,0.0,0.1,.333,1.9,2.7,.718,1.4,2.8,2.5,4.8,7.3,0.7,0.4,9.7
Evan Turner,BOS,82,27.6,3.9,9.1,.429,0.4,1.5,.277,1.3,1.7,.752,2.4,2.2,0.5,4.6,5.1,5.5,1.0,9.5
